INSERT INTO PRODUCT VALUES(SEQ_PRO_NO.NEXTVAL, 211, '새상품 침대', '한샘', 150000, 1, '판매중', 50, 4.5, '편안한 침대입니다.', '무료배송', DEFAULT, DEFAULT, DEFAULT, DEFAULT, DEFAULT, DEFAULT);
INSERT INTO PRODUCT VALUES(SEQ_PRO_NO.NEXTVAL, 212, '새상품 가구', '리바트', 250000, 1, '판매중', 20, 4.2, '거실에 잘 어울리는 가구입니다.', '무료배송', DEFAULT, DEFAULT, DEFAULT, DEFAULT, DEFAULT, DEFAULT);
INSERT INTO PRODUCT VALUES(SEQ_PRO_NO.NEXTVAL, 213, '새상품 의자', '퍼시스', 75000, 1, '판매중', 100, 3.8, '편안한 사무용 의자입니다.', '무료배송', DEFAULT, DEFAULT, DEFAULT, DEFAULT, DEFAULT, DEFAULT);
INSERT INTO PRODUCT VALUES(SEQ_PRO_NO.NEXTVAL, 214, '새상품 책상', '아이홈', 180000, 1, '판매중', 60, 4.1, '튼튼한 책상입니다.', '무료배송', DEFAULT, DEFAULT, DEFAULT, DEFAULT, DEFAULT, DEFAULT);
INSERT INTO PRODUCT VALUES(SEQ_PRO_NO.NEXTVAL, 215, '새상품 욕실용품', '바스홈', 30000, 1, '판매중', 200, 4.0, '고급스러운 욕실 용품입니다.', '무료배송', DEFAULT, DEFAULT, DEFAULT, DEFAULT, DEFAULT, DEFAULT);
INSERT INTO PRODUCT VALUES(SEQ_PRO_NO.NEXTVAL, 216, '새상품 부엌용품', '쿠첸', 120000, 1, '판매중', 30, 4.4, '실용적인 부엌 용품입니다.', '무료배송', DEFAULT, DEFAULT, DEFAULT, DEFAULT, DEFAULT, DEFAULT);
INSERT INTO PRODUCT VALUES(SEQ_PRO_NO.NEXTVAL, 217, '새상품 인테리어 소품', '플랜트리', 40000, 1, '판매중', 150, 4.3, '세련된 인테리어 소품입니다.', '무료배송', DEFAULT, DEFAULT, DEFAULT, DEFAULT, DEFAULT, DEFAULT);
INSERT INTO PRODUCT VALUES(SEQ_PRO_NO.NEXTVAL, 218, '새상품 식재료', '청정원', 25000, 1, '판매중', 500, 4.7, '신선한 식재료입니다.', '무료배송', DEFAULT, DEFAULT, DEFAULT, DEFAULT, DEFAULT, DEFAULT);
INSERT INTO PRODUCT VALUES(SEQ_PRO_NO.NEXTVAL, 219, '새상품 간편식', 'CJ제일제당', 5000, 1, '판매중', 1000, 4.9, '맛있는 간편식입니다.', '무료배송', DEFAULT, DEFAULT, DEFAULT, DEFAULT, DEFAULT, DEFAULT);

INSERT INTO PRODUCT VALUES(SEQ_PRO_NO.NEXTVAL, 221, '리퍼 침대', '리퍼월드', 90000, 1, '판매중', 30, 3.5, '저렴한 리퍼 침대입니다.', '유료배송', DEFAULT, DEFAULT, DEFAULT, DEFAULT, DEFAULT, DEFAULT);
